"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Mon May 11 12:12:31 IST 2020","Mon May 11 12:12:46 IST 2020","15011","TestCases","test_EDP1","","","","test_createTransaction_FIN",""
"passed","Mon May 11 12:12:29 IST 2020","Mon May 11 12:12:31 IST 2020","2871","TestCases","test_EDP1","","","","test_gettechnicalwallet_FIN",""
